2042302.83264736,2739551.89163898,58104.0882493024,0,58104.0882493024,58104.0882493024,533831.310790466,5866.27814055457,0,9958426.16345856
2343337.1909122,10038964.4427122,685143.488987652,0,685143.488987652,685143.488987652,4019902.45085761,871428.517870475,0,31957646.3583663
162290.795943251,741900.781454863,270484.659905419,695531.982613934,270484.659905419,270484.659905419,0,0,0,1553354.76117112
183448.988735203,838623.948503785,0,786209.951722298,0,0,0,0,3522220.5837159,1755868.8921798
904917.292337626,4136764.76497201,0,3878216.96716126,0,0,31918900.8569999,0,1579492.00117113,8661351.22666014
495718.120853479,430279.743236293,0,804981.686304564,0,0,0,0,0,900898.212400988
11161347.4408066,12287808.0740251,531939.743464289,0,531939.743464289,531939.743464289,131420.407208824,10907893.7983324,0,5744949.22941432
193363.753869831,3831019.37354603,318244.511577431,0,318244.511577431,318244.511577431,1281034.86938763,374642.273122798,0,10622921.2282239
0,0,0,0,0,0,0,0,0,25604865.4428507
0,284300.789903432,0,0,0,0,0,0,0,2558707.10913089
0,0,0,0,0,0,0,0,0,4382305.61420326
0,0,0,0,0,0,0,0,0,44018180.096676
17443067.9551739,17027756.8133841,553748.189053141,0,553748.189053141,553748.189053141,7060289.41042755,415311.141789856,0,1661244.56715942
7785467.31584311,165648.240762619,441728.642033652,0,441728.642033652,441728.642033652,1656482.40762619,165648.240762619,0,13417507.5017722
15952687.13004,15952687.13004,0,0,0,0,15952687.13004,15952687.13004,0,0
494911.827130578,494911.827130578,70701.6895900825,0,70701.6895900825,70701.6895900825,565613.51672066,35350.8447950413,0,989823.654261155
